2025-03-17 17:17:47 - [x] Subskrybent nasłuchuje na kolejce 'probaataku'
2025-03-17 17:17:47 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:52:41 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"639c9092-d6b9-46c8-b55b-8813f7a4dac7","Timestamp":"2025-03-17T16:52:41.1798681Z","Data":"Dane postaci"}
2025-03-17 17:52:41 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"ed359d74-364c-4a20-a349-51a1015f29db","Timestamp":"2025-03-17T16:52:41.2130465Z","Data":"Dane ataku"}
2025-03-17 17:52:48 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"3fef192b-8f61-4592-a6e2-2a956cac6f6b","Timestamp":"2025-03-17T16:52:48.6941644Z","Data":"Dane postaci"}
2025-03-17 17:52:48 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"159d8119-d3c5-47b0-8f0d-31d3cef9c069","Timestamp":"2025-03-17T16:52:48.7268083Z","Data":"Dane ataku"}
2025-03-17 17:52:53 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"3e54a1ed-660d-44ac-a128-eca85ab859bb","Timestamp":"2025-03-17T16:52:53.4538104Z","Data":"Dane postaci"}
2025-03-17 17:52:53 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"35f740a4-7768-4fa7-975f-5f82ebc451e6","Timestamp":"2025-03-17T16:52:53.4885519Z","Data":"Dane ataku"}
2025-03-17 17:53:00 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"adf9c01e-0afb-4373-9551-e7cbe4392cd8","Timestamp":"2025-03-17T16:53:00.9110438Z","Data":"Dane postaci"}
2025-03-17 17:53:00 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"90a57cf8-2f86-4d38-8c30-b15d3cc02607","Timestamp":"2025-03-17T16:53:00.9461627Z","Data":"Dane ataku"}
2025-03-17 17:53:06 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"0a0399c9-71dc-40f9-9bfb-03db785103cb","Timestamp":"2025-03-17T16:53:06.1992423Z","Data":"Dane postaci"}
2025-03-17 17:53:06 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"a92d5113-4c85-47bf-91d4-20eeee1290b6","Timestamp":"2025-03-17T16:53:06.2389746Z","Data":"Dane ataku"}
2025-03-17 17:53:09 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"e3887411-548d-475d-9802-1b03898af547","Timestamp":"2025-03-17T16:53:09.3388685Z","Data":"Dane postaci"}
2025-03-17 17:53:09 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"b8bc9895-2ecd-46a2-b17a-91ce5e445023","Timestamp":"2025-03-17T16:53:09.3767111Z","Data":"Dane ataku"}
2025-03-17 17:53:19 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"204a5c50-c896-4e37-8c63-36f638ca00d3","Timestamp":"2025-03-17T16:53:19.0982747Z","Data":"Dane postaci"}
2025-03-17 17:53:19 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"b1452ae2-acf3-48a2-b469-4440a94c3374","Timestamp":"2025-03-17T16:53:19.1314121Z","Data":"Dane ataku"}
2025-03-17 17:53:23 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"6fe558ad-4e6b-4840-885d-4a8df0f5bd1a","Timestamp":"2025-03-17T16:53:23.421806Z","Data":"Dane postaci"}
2025-03-17 17:53:23 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"0b93f709-478f-4274-b041-c99278c7235c","Timestamp":"2025-03-17T16:53:23.4545362Z","Data":"Dane ataku"}
2025-03-17 17:53:29 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"8c48830e-376c-4cea-bc9e-32a10051ffe2","Timestamp":"2025-03-17T16:53:29.1761815Z","Data":"Dane postaci"}
2025-03-17 17:53:29 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"b485ad69-1909-4363-9112-6ca9ba1c8bf9","Timestamp":"2025-03-17T16:53:29.210439Z","Data":"Dane ataku"}
2025-03-17 17:53:38 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"806f46ae-0a28-44d3-85a1-18d27b0da0dc","Timestamp":"2025-03-17T16:53:38.1706466Z","Data":"Dane postaci"}
2025-03-17 17:53:38 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"30c32ade-ff36-44e2-8e65-91703c662cc9","Timestamp":"2025-03-17T16:53:38.2041611Z","Data":"Dane ataku"}
