2025-03-17 17:17:43 - [x] Subskrybent nasłuchuje na kolejce 'zapispostaci'
2025-03-17 17:17:43 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:53:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"df5ac307-6c3f-4d44-a116-e6d50b52df12","Timestamp":"2025-03-17T16:53:59.2675186Z","Data":"Dane postaci"}
2025-03-17 17:54:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"ad28aa20-6e62-470c-b87a-464f5cc17247","Timestamp":"2025-03-17T16:54:07.6326042Z","Data":"Dane postaci"}
2025-03-17 17:54:11 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"043129e0-4a0c-4b7e-aa79-8b2cf0628fe4","Timestamp":"2025-03-17T16:54:11.8242043Z","Data":"Dane postaci"}
2025-03-17 17:54:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"44bf398e-6fa3-4f93-bfa0-280ac8b03dcd","Timestamp":"2025-03-17T16:54:19.2750306Z","Data":"Dane postaci"}
2025-03-17 17:54:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"09689911-cc0f-4884-b3c2-9da7c8b4c986","Timestamp":"2025-03-17T16:54:27.6553227Z","Data":"Dane postaci"}
2025-03-17 17:54:31 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"9c5a84a7-80ab-4549-b410-69bcda1922bb","Timestamp":"2025-03-17T16:54:31.8476306Z","Data":"Dane postaci"}
2025-03-17 17:54:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"3a899bdb-a085-4064-b089-f05af7405292","Timestamp":"2025-03-17T16:54:39.2926066Z","Data":"Dane postaci"}
2025-03-17 17:54:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"b3abb7f5-94ba-47ec-86b6-4a6cb85aee35","Timestamp":"2025-03-17T16:54:47.6805388Z","Data":"Dane postaci"}
2025-03-17 17:54:51 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"e4e2d234-9da8-4b1e-86b1-540f8777bb94","Timestamp":"2025-03-17T16:54:51.8652823Z","Data":"Dane postaci"}
2025-03-17 17:54:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"bfe2ea92-1040-46da-a080-cdb40eef145f","Timestamp":"2025-03-17T16:54:59.3132275Z","Data":"Dane postaci"}
2025-03-17 17:55:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"89f34dc5-1b75-4fb0-b6e0-573903b91db3","Timestamp":"2025-03-17T16:55:07.6891994Z","Data":"Dane postaci"}
2025-03-17 17:55:11 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"9cc50d92-5209-4c0d-a90b-4bc433a76382","Timestamp":"2025-03-17T16:55:11.8935799Z","Data":"Dane postaci"}
