2025-03-17 17:17:48 - [x] Subskrybent nasłuchuje na kolejce 'udanyatak'
2025-03-17 17:17:48 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:54:02 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"536cb72b-c578-4a24-8080-382f46a9db7a","Timestamp":"2025-03-17T16:54:02.6189848Z","Data":"Dane ataku"}
2025-03-17 17:54:06 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"1399e19b-ea89-4934-b8ec-3635c7a02ba5","Timestamp":"2025-03-17T16:54:06.9242046Z","Data":"Dane ataku"}
2025-03-17 17:54:13 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"d2c4f5bb-edc1-4081-9282-63b03a03d1cc","Timestamp":"2025-03-17T16:54:13.5092617Z","Data":"Dane ataku"}
2025-03-17 17:54:18 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"f2d49293-d294-49f1-9f51-d2e059b7628c","Timestamp":"2025-03-17T16:54:18.7534575Z","Data":"Dane ataku"}
2025-03-17 17:54:27 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"6d8589c8-acec-4f0e-8346-5430bc91a3b4","Timestamp":"2025-03-17T16:54:27.3136483Z","Data":"Dane ataku"}
2025-03-17 17:54:31 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"592da33a-4041-4dda-b054-76dd69894957","Timestamp":"2025-03-17T16:54:31.4628732Z","Data":"Dane ataku"}
2025-03-17 17:54:39 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"22edfe29-77e2-4308-9f81-c49b2f84bc58","Timestamp":"2025-03-17T16:54:39.8238485Z","Data":"Dane ataku"}
2025-03-17 17:54:49 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"bc852e20-305e-4557-832d-266df29e4062","Timestamp":"2025-03-17T16:54:49.5458357Z","Data":"Dane ataku"}
2025-03-17 17:54:59 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"52118c8a-35db-4062-8e6d-d78f6227b71c","Timestamp":"2025-03-17T16:54:59.223739Z","Data":"Dane ataku"}
2025-03-17 17:55:03 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"99554b96-82c2-4d81-bc85-11d1579c50b9","Timestamp":"2025-03-17T16:55:03.7741389Z","Data":"Dane ataku"}
2025-03-17 17:55:12 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"429e59b9-f580-4c3d-8e5d-3e6104a9a121","Timestamp":"2025-03-17T16:55:12.1002484Z","Data":"Dane ataku"}
2025-03-17 17:55:21 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"2c57f2d8-86ed-4039-b63c-5be402e26fb6","Timestamp":"2025-03-17T16:55:21.5518569Z","Data":"Dane ataku"}
2025-03-17 17:55:24 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"3a3d4c30-8a55-4ed9-9996-34403a4f6777","Timestamp":"2025-03-17T16:55:24.8225337Z","Data":"Dane ataku"}
2025-03-17 17:55:31 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"2b32aac2-d299-4cdf-b311-e6bc82515e43","Timestamp":"2025-03-17T16:55:31.5332857Z","Data":"Dane ataku"}
2025-03-17 17:55:39 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"94534e59-30c9-47ab-b3ff-4860c1ce264c","Timestamp":"2025-03-17T16:55:39.3852922Z","Data":"Dane ataku"}
2025-03-17 17:55:48 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"b5e5d389-b380-4b08-bc87-f66e9f885e2e","Timestamp":"2025-03-17T16:55:48.5659247Z","Data":"Dane ataku"}
2025-03-17 17:55:55 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"404ee265-1ed8-4371-bb87-c902586d5f51","Timestamp":"2025-03-17T16:55:54.9881457Z","Data":"Dane ataku"}
2025-03-17 17:56:03 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"b8fd66a3-6924-4966-a810-586e9e7742e2","Timestamp":"2025-03-17T16:56:03.1890714Z","Data":"Dane ataku"}
2025-03-17 17:56:11 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"00582b64-44f7-4c0d-a77c-0bbf78874dfc","Timestamp":"2025-03-17T16:56:11.7591796Z","Data":"Dane ataku"}
